QOI,Method, Degree , Val. error , LOOERROR ,Max Sobol Error, Mean Sobol Error,Ns
ADP90,OLS,    2,5.387e-03,7.838e-03,0.016809,0.032241,  56
ADP50,OLS,    2,5.872e-03,7.838e-03,0.023617,0.052009,  56
dVmax,OLS,    2,5.374e-04,7.838e-03,0.000488,0.002327,  56
Vrest,OLS,    2,3.210e-04,7.838e-03,0.052779,0.165024,  56
ADP90,OLS,    2,3.343e-03,3.627e-03,0.018185,0.040124, 168
ADP50,OLS,    2,3.893e-03,3.627e-03,0.024647,0.065580, 168
dVmax,OLS,    2,4.448e-04,3.627e-03,0.000489,0.002356, 168
Vrest,OLS,    2,2.583e-04,3.627e-03,0.052641,0.164642, 168
ADP90,OLS,    2,5.387e-03,7.838e-03,0.025484,0.077595,  56
ADP50,OLS,    2,5.872e-03,7.838e-03,0.013282,0.042562,  56
dVmax,OLS,    2,5.374e-04,7.838e-03,0.000838,0.004400,  56
Vrest,OLS,    2,3.210e-04,7.838e-03,0.061397,0.185247,  56
ADP90,OLS,    2,5.387e-03,7.838e-03,0.025484,0.077595,  56
ADP50,OLS,    2,5.872e-03,7.838e-03,0.013282,0.042562,  56
dVmax,OLS,    2,5.374e-04,7.838e-03,0.000838,0.004400,  56
Vrest,OLS,    2,3.210e-04,7.838e-03,0.061397,0.185247,  56
ADP90,OLS,    2,5.387e-03,7.838e-03,0.025484,0.077595,  56
ADP50,OLS,    2,5.872e-03,7.838e-03,0.013282,0.042562,  56
dVmax,OLS,    2,5.374e-04,7.838e-03,0.000838,0.004400,  56
Vrest,OLS,    2,3.210e-04,7.838e-03,0.061397,0.185247,  56
