QOI,Method,Degree,Val. error,LOOERROR,Ns
ADP90,OLS,2,  5.39e-03,  1.00e-02,     56
ADP90,LARS,5,  4.29e-03,  3.22e-03,     56
ADP90,OMP,6,  2.26e-02,  4.22e-05,     56
ADP90,SP,5,  1.12e-02,  1.83e-03,     56
ADP90,BCS,2,  4.61e-03,  3.59e-03,     56
ADP50,OLS,2,  5.87e-03,  7.84e-03,     56
ADP50,LARS,5,  5.50e-03,  2.69e-03,     56
ADP50,OMP,6,  1.61e-02,  4.96e-04,     56
ADP50,SP,6,  4.84e-03,  3.27e-03,     56
ADP50,BCS,4,  6.96e-03,  3.29e-03,     56
dVmax,OLS,2,  5.37e-04,  1.38e-03,     56
dVmax,LARS,6,  3.08e-04,  1.04e-04,     56
dVmax,OMP,6,  8.70e-04,  4.75e-06,     56
dVmax,SP,6,  5.96e-04,  7.58e-05,     56
dVmax,BCS,2,  4.01e-04,  4.06e-04,     56
Vrest,OLS,2,  3.21e-04,  2.38e-04,     56
Vrest,LARS,3,  2.99e-04,  5.58e-05,     56
Vrest,OMP,6,  4.54e-04,  4.71e-10,     56
Vrest,SP,6,  3.64e-04,  2.58e-05,     56
Vrest,BCS,4,  2.75e-04,  7.68e-05,     56
ADP90,OLS,2,  3.34e-03,  3.58e-03,    168
ADP90,LARS,5,  3.58e-03,  2.64e-03,    168
ADP90,OMP,6,  6.08e-03,  1.54e-03,    168
ADP90,SP,6,  6.62e-03,  1.45e-03,    168
ADP90,BCS,3,  3.44e-03,  2.62e-03,    168
ADP50,OLS,2,  3.89e-03,  3.63e-03,    168
ADP50,LARS,5,  3.55e-03,  3.04e-03,    168
ADP50,OMP,6,  5.14e-03,  2.29e-03,    168
ADP50,SP,6,  5.36e-03,  2.32e-03,    168
ADP50,BCS,4,  3.24e-03,  3.12e-03,    168
dVmax,OLS,2,  4.45e-04,  5.27e-04,    168
dVmax,LARS,6,  1.64e-04,  1.29e-04,    168
dVmax,OMP,6,  2.89e-04,  8.00e-05,    168
dVmax,SP,6,  2.53e-04,  1.01e-04,    168
dVmax,BCS,2,  3.90e-04,  3.95e-04,    168
Vrest,OLS,2,  2.58e-04,  7.53e-05,    168
Vrest,LARS,3,  2.53e-04,  5.45e-05,    168
Vrest,OMP,6,  3.37e-04,  2.91e-05,    168
Vrest,SP,6,  2.75e-04,  5.71e-05,    168
Vrest,BCS,5,  2.52e-04,  6.23e-05,    168
ADP90,OLS,2,  2.99e-03,  3.24e-03,    420
ADP90,LARS,6,  3.25e-03,  3.11e-03,    420
ADP90,OMP,6,  3.63e-03,  2.11e-03,    420
ADP90,SP,5,  3.32e-03,  2.60e-03,    420
ADP90,BCS,5,  3.15e-03,  3.15e-03,    420
ADP50,OLS,2,  3.20e-03,  3.32e-03,    420
ADP50,LARS,6,  3.30e-03,  2.88e-03,    420
ADP50,OMP,6,  3.91e-03,  2.12e-03,    420
ADP50,SP,3,  3.19e-03,  2.85e-03,    420
ADP50,BCS,4,  3.23e-03,  3.16e-03,    420
dVmax,OLS,2,  3.92e-04,  4.12e-04,    420
dVmax,LARS,6,  1.42e-04,  1.38e-04,    420
dVmax,OMP,6,  1.41e-04,  1.13e-04,    420
dVmax,SP,6,  1.57e-04,  1.05e-04,    420
dVmax,BCS,6,  1.28e-04,  1.42e-04,    420
Vrest,OLS,2,  2.55e-04,  6.38e-05,    420
Vrest,LARS,5,  2.51e-04,  5.27e-05,    420
Vrest,OMP,6,  2.59e-04,  5.01e-05,    420
Vrest,SP,6,  2.54e-04,  5.31e-05,    420
Vrest,BCS,4,  2.49e-04,  5.78e-05,    420
ADP90,OLS,2,  2.94e-03,  2.81e-03,    924
ADP90,LARS,6,  3.01e-03,  2.93e-03,    924
ADP90,OMP,6,  3.18e-03,  2.64e-03,    924
ADP90,SP,6,  3.06e-03,  2.76e-03,    924
ADP90,BCS,3,  2.88e-03,  2.81e-03,    924
ADP50,OLS,2,  3.02e-03,  3.09e-03,    924
ADP50,LARS,6,  3.32e-03,  2.88e-03,    924
ADP50,OMP,6,  3.32e-03,  2.82e-03,    924
ADP50,SP,6,  3.25e-03,  2.72e-03,    924
ADP50,BCS,3,  3.02e-03,  3.07e-03,    924
dVmax,OLS,2,  3.82e-04,  3.72e-04,    924
dVmax,LARS,6,  1.32e-04,  1.09e-04,    924
dVmax,OMP,6,  1.33e-04,  1.16e-04,    924
dVmax,SP,6,  1.32e-04,  1.20e-04,    924
dVmax,BCS,6,  1.26e-04,  1.26e-04,    924
Vrest,OLS,2,  2.55e-04,  6.52e-05,    924
Vrest,LARS,6,  2.53e-04,  5.40e-05,    924
Vrest,OMP,6,  2.50e-04,  5.18e-05,    924
Vrest,SP,6,  2.48e-04,  5.44e-05,    924
Vrest,BCS,4,  2.46e-04,  5.85e-05,    924
ADP90,OLS,2,  9.03e+02,       Inf,     10
ADP90,LARS,3,  5.85e-01,  4.30e-02,     10
ADP90,OMP,3,  1.07e-02,  2.17e-05,     10
ADP90,SP,2,  6.86e-03,  3.38e-03,     10
ADP90,BCS,2,  4.80e-01,  3.09e-01,     10
ADP50,OLS,2,  8.28e+02,       Inf,     10
ADP50,LARS,2,  1.69e-01,  9.81e-02,     10
ADP50,OMP,4,  6.30e-02,  8.35e-05,     10
ADP50,SP,2,  2.27e-02,  1.32e-02,     10
ADP50,BCS,2,  1.75e-01,  2.90e-01,     10
dVmax,OLS,2,  3.45e+02,       Inf,     10
dVmax,LARS,5,  9.26e-03,  5.71e-05,     10
dVmax,OMP,4,  2.85e-03,  3.94e-07,     10
dVmax,SP,3,  1.31e-03,  7.38e-04,     10
dVmax,BCS,2,  1.10e-03,  1.61e-03,     10
Vrest,OLS,2,  7.59e+06,       Inf,     10
Vrest,LARS,2,  2.20e-03,  1.60e-03,     10
Vrest,OMP,5,  8.85e-03,  3.42e-07,     10
Vrest,SP,2,  4.63e-03,  9.34e-03,     10
Vrest,BCS,2,  1.66e-03,  8.59e-03,     10
