QOI,Method,Degree,Val. error,LOOERROR,Ns
ADP90,OLS,2,  5.39e-03,  1.00e-02,     56
ADP90,LARS,5,  4.29e-03,  3.22e-03,     56
ADP90,OMP,6,  2.26e-02,  4.22e-05,     56
ADP90,SP,5,  1.12e-02,  1.83e-03,     56
ADP90,BCS,2,  4.61e-03,  3.59e-03,     56
ADP50,OLS,2,  5.87e-03,  7.84e-03,     56
ADP50,LARS,5,  5.50e-03,  2.69e-03,     56
ADP50,OMP,6,  1.61e-02,  4.96e-04,     56
ADP50,SP,6,  4.84e-03,  3.27e-03,     56
ADP50,BCS,4,  6.96e-03,  3.29e-03,     56
dVmax,OLS,2,  5.37e-04,  1.38e-03,     56
dVmax,LARS,6,  3.08e-04,  1.04e-04,     56
dVmax,OMP,6,  8.70e-04,  4.75e-06,     56
dVmax,SP,6,  5.96e-04,  7.58e-05,     56
dVmax,BCS,2,  4.01e-04,  4.06e-04,     56
Vrest,OLS,2,  3.21e-04,  2.38e-04,     56
Vrest,LARS,3,  2.99e-04,  5.58e-05,     56
Vrest,OMP,6,  4.54e-04,  4.71e-10,     56
Vrest,SP,6,  3.64e-04,  2.58e-05,     56
Vrest,BCS,4,  2.75e-04,  7.68e-05,     56
QOI,Method,Degree,Val. error,LOOERROR,Ns
ADP90,OLS,2,  5.39e-03,  1.00e-02,     56
ADP90,LARS,5,  4.29e-03,  3.22e-03,     56
ADP90,OMP,6,  2.26e-02,  4.22e-05,     56
ADP90,SP,5,  1.12e-02,  1.83e-03,     56
ADP90,BCS,2,  4.61e-03,  3.59e-03,     56
ADP50,OLS,2,  5.87e-03,  7.84e-03,     56
ADP50,LARS,5,  5.50e-03,  2.69e-03,     56
ADP50,OMP,6,  1.61e-02,  4.96e-04,     56
ADP50,SP,6,  4.84e-03,  3.27e-03,     56
ADP50,BCS,4,  6.96e-03,  3.29e-03,     56
dVmax,OLS,2,  5.37e-04,  1.38e-03,     56
dVmax,LARS,6,  3.08e-04,  1.04e-04,     56
dVmax,OMP,6,  8.70e-04,  4.75e-06,     56
dVmax,SP,6,  5.96e-04,  7.58e-05,     56
dVmax,BCS,2,  4.01e-04,  4.06e-04,     56
Vrest,OLS,2,  3.21e-04,  2.38e-04,     56
Vrest,LARS,3,  2.99e-04,  5.58e-05,     56
Vrest,OMP,6,  4.54e-04,  4.71e-10,     56
Vrest,SP,6,  3.64e-04,  2.58e-05,     56
Vrest,BCS,4,  2.75e-04,  7.68e-05,     56
