QOI,Method,Degree,Val. error,LOOERROR,Ns
ADP90,OLS,2,2.2717e-03,2.1610e-03,    500
ADP90,LARS,5,2.3224e-03,2.1107e-03,    500
ADP90,OMP,5,2.4936e-03,2.0089e-03,    500
ADP90,SP,5,2.4861e-03,2.0173e-03,    500
ADP90,BCS,3,2.2973e-03,2.1828e-03,    500
ADP50,OLS,2,2.5027e-03,2.4017e-03,    500
ADP50,LARS,4,2.5625e-03,2.2194e-03,    500
ADP50,OMP,5,2.5489e-03,2.2269e-03,    500
ADP50,SP,4,2.5274e-03,2.2339e-03,    500
ADP50,BCS,4,2.5600e-03,2.4247e-03,    500
dVmax,OLS,2,3.2897e-04,3.2158e-04,    500
dVmax,LARS,5,2.1718e-04,1.7690e-04,    500
dVmax,OMP,5,2.2347e-04,1.7394e-04,    500
dVmax,SP,5,2.2082e-04,1.7584e-04,    500
dVmax,BCS,5,2.0417e-04,2.0283e-04,    500
Vrest,OLS,3,2.4172e-06,2.6271e-06,    500
Vrest,LARS,5,2.2283e-06,2.1187e-06,    500
Vrest,OMP,5,2.2816e-06,2.1081e-06,    500
Vrest,SP,5,2.2857e-06,2.0962e-06,    500
Vrest,BCS,4,2.1445e-06,2.2814e-06,    500
